ccNumber,firstName,lastName,email,city,state,postalCode,balance
5048371925866046,Gisela,Skepper,gskepper0@over-blog.com,Cleveland,OH,44125,8765.79
5048375645414029,Berry,Duffan,bduffan1@goodreads.com,Hialeah,FL,33018,7313.96
5002355435237842,Lionel,Densell,ldensell2@sourceforge.net,Los Angeles,CA,90025,6019.16
5100146434209077,Philip,Pleasaunce,ppleasaunce3@tamu.edu,Madison,WI,53716,5630.89
5397547528077423,Bella,Ironmonger,bironmonger4@walmart.com,Columbus,GA,31914,646.2
5499910883024611,Gay,Tax,gtax5@printfriendly.com,Albuquerque,NM,87121,8412.19
5119317744659801,Anatol,Roust,aroust6@yellowpages.com,Corpus Christi,TX,78426,7204.18
5384709248866361,Ogdon,Murkin,omurkin7@simplemachines.org,Kansas City,MO,64199,7179.88
5007662170151244,Esmaria,Vardey,evardey8@ucsd.edu,Tulsa,OK,74108,5950.07
5108755061726922,Kassey,Greneham,kgreneham9@wix.com,Washington,DC,20520,7977.82
5048375316143089,Blair,Keld,bkelda@google.cn,Tucson,AZ,85737,8775.64
5429456895308647,Cher,Brumbye,cbrumbyeb@uiuc.edu,Tacoma,WA,98464,2921.16
5230144588662525,Nollie,Petrelli,npetrellic@odnoklassniki.ru,Panama City,FL,32405,5460.93
5120581094650762,Leonardo,Balderstone,lbalderstoned@slate.com,Shawnee Mission,KS,66220,8278.79
5131531152512815,Elie,Dunnaway,edunnawaye@berkeley.edu,Frederick,MD,21705,3941.66
5516846032987325,Armstrong,Bondley,abondleyf@dion.ne.jp,New York City,NY,10090,5694.8
5286387323127105,Ruthe,Caffin,rcaffing@bloglovin.com,Atlanta,GA,31119,31.37
5010125938346964,Bat,Frake,bfrakeh@smh.com.au,Jacksonville,FL,32209,914.46
5432626654700102,Zerk,Fenty,zfentyi@sohu.com,Detroit,MI,48295,6180.82
5007668656200827,Dion,Marks,dmarksj@about.me,Jamaica,NY,11470,8471.2
5100177371620547,Kalindi,Trenouth,ktrenouthk@ibm.com,Irvine,CA,92612,4815.61
5100149585858965,Ros,Tordoff,rtordoffl@hugedomains.com,Dayton,OH,45408,2313.32
5363234586095353,Nissie,Greenman,ngreenmanm@mediafire.com,Long Beach,CA,90810,7690.45
5546666778371524,Gladys,Ebbotts,gebbottsn@auda.org.au,Las Vegas,NV,89115,2123.26
5588640038980167,Toiboid,Pottinger,tpottingero@unblog.fr,Columbus,GA,31914,2367.85
5479174789635483,Woodman,Archard,warchardp@phoca.cz,New Haven,CT,06505,1155.64
5100177229311406,Aile,Titley,atitleyq@deliciousdays.com,Grand Rapids,MI,49544,763.76
5311771857097074,Juana,Bownes,jbownesr@examiner.com,Sacramento,CA,94286,8671.94
5255716250576016,Maison,Escolme,mescolmes@springer.com,Pittsburgh,PA,15261,5404.04
5010124677243094,Aili,Silverthorne,asilverthornet@webs.com,Houston,TX,77250,2786.41
5002358841651879,Olivie,Fernandez,ofernandezu@hostgator.com,Minneapolis,MN,55407,1078.6
5100142461235069,Claudetta,Flahy,cflahyv@jiathis.com,Kansas City,MO,64187,9304.46
5426107990549865,Bettye,Shank,bshankw@auda.org.au,Alpharetta,GA,30022,3341.73
5048379700893994,Ofella,Toulch,otoulchx@aboutads.info,Wilmington,DE,19892,2433.55
5100148015403798,Raul,Huntley,rhuntleyy@chron.com,Fort Lauderdale,FL,33315,9861.14
5007660366459322,Thorpe,Stoak,tstoakz@ucla.edu,Huntington,WV,25770,8933.35
5165753200583023,Dode,Streather,dstreather10@yolasite.com,El Paso,TX,79911,737.07
5108751611644012,Eli,Battelle,ebattelle11@chicagotribune.com,New York City,NY,10115,5471.22
5100149898453629,Giacopo,Kennham,gkennham12@netlog.com,Long Beach,CA,90831,832.66
5508773142482510,Cookie,McQuaker,cmcquaker13@washingtonpost.com,Los Angeles,CA,90030,3669.83
5007662062185979,Pen,Jermy,pjermy14@rambler.ru,Corpus Christi,TX,78405,5881.38
5263195311118458,Cindee,Donovin,cdonovin15@narod.ru,Los Angeles,CA,90076,3158.13
5100175112633431,Wynn,Madgwich,wmadgwich16@webnode.com,Saint Louis,MO,63180,9095.9
5002357862634855,Tristan,Zeal,tzeal17@marriott.com,Tulsa,OK,74108,5352.27
5417134535219185,Hattie,Cecil,hcecil18@simplemachines.org,Denver,CO,80299,542.46
5574957639467618,Pincus,Holton,pholton19@ftc.gov,Tallahassee,FL,32314,5577.83
5002351546538202,Florentia,Le Moucheux,flemoucheux1a@digg.com,Washington,DC,20525,3966.22
5010124235316366,Lance,Stickford,lstickford1b@ucla.edu,Washington,DC,20215,6758.9
5007660096449189,Skipp,Biernacki,sbiernacki1c@who.int,Baton Rouge,LA,70810,3916.9
5100170024279951,Renae,Crosscombe,rcrosscombe1d@si.edu,Huntsville,AL,35805,6428.51
5576384235002269,Camile,Crocken,ccrocken1e@google.com.au,Columbus,OH,43204,7867.98
5100174846094374,Kerstin,Sitford,ksitford1f@paginegialle.it,Fort Wayne,IN,46805,4965.56
5238934186230713,Thedrick,Danovich,tdanovich1g@weibo.com,Lees Summit,MO,64082,7975.53
5108755838897147,Randie,Dolman,rdolman1h@cnet.com,Evansville,IN,47705,345.01
5010125563242751,Priscilla,Chasteney,pchasteney1i@redcross.org,Charlotte,NC,28289,3874.7
5108759426125705,Darryl,Latimer,dlatimer1j@google.pl,Phoenix,AZ,85045,5461.58
5506300228208031,Neala,Chenery,nchenery1k@java.com,Lexington,KY,40591,5385.61
5173852626273068,Kinsley,Totton,ktotton1l@altervista.org,Knoxville,TN,37919,150.91
5007661431020966,Domenic,Clem,dclem1m@is.gd,Boston,MA,02124,1871.59
5187610957992811,Bryana,Cubbino,bcubbino1n@addthis.com,Washington,DC,20046,1091.48
5507014005349996,Zora,Ivanishev,zivanishev1o@slashdot.org,Dallas,TX,75241,9552.7
5413833161952233,Rory,Muff,rmuff1p@google.fr,Fresno,CA,93709,4045.63
5010125122850730,Charley,Folkard,cfolkard1q@intel.com,El Paso,TX,79916,5759.94
5100173302761955,Lind,Linfoot,llinfoot1r@samsung.com,Lansing,MI,48956,3642.58
5288929474090000,Claudio,Reckless,creckless1s@weibo.com,Honolulu,HI,96815,2450.69
5100149908365557,Nell,Simounet,nsimounet1t@webs.com,Atlanta,GA,30386,9320.91
5454754783075270,Tadio,Jakolevitch,tjakolevitch1u@independent.co.uk,Cleveland,OH,44118,3125.69
5100171126752374,Sandro,Laverock,slaverock1v@webs.com,San Antonio,TX,78225,9897.79
5010129257357495,Durant,Stable,dstable1w@phoca.cz,Atlanta,GA,31196,8136.77
5010122379767071,Jeannette,Caldes,jcaldes1x@wikipedia.org,Bronx,NY,10464,5294.52
5100178700859046,Astrix,Wallis,awallis1y@spotify.com,Huntington,WV,25726,4143.88
5100138515175491,Tobye,Treweke,ttreweke1z@bing.com,Chattanooga,TN,37410,657.57
5100133143693593,Valentine,MacCaughey,vmaccaughey20@elegantthemes.com,Texarkana,TX,75507,5671.62
5163085311505773,Kaitlynn,Davies,kdavies21@nytimes.com,Lake Worth,FL,33467,6671.63
